timestamp,key_dwell,mouse_x,mouse_y,scroll_dx,scroll_dy,idle_seconds,event_type
2026-02-25 00:56:28.291123,0,439,124,0,0,0.17206835746765137,move
2026-02-25 00:56:28.297995,0,491,199,0,0,0.006871938705444336,move
2026-02-25 00:56:28.304454,0,552,274,0,0,0.006458759307861328,move
2026-02-25 00:56:28.311454,0,611,343,0,0,0.0069997310638427734,move
2026-02-25 00:56:28.318532,0,690,430,0,0,0.007078409194946289,move
2026-02-25 00:56:28.325395,0,770,507,0,0,0.006862640380859375,move
2026-02-25 00:56:28.331978,0,846,580,0,0,0.006583213806152344,move
2026-02-25 00:56:28.339249,0,923,657,0,0,0.007271528244018555,move
2026-02-25 00:56:28.345900,0,995,724,0,0,0.0066509246826171875,move
2026-02-25 00:56:28.352906,0,1064,790,0,0,0.007005214691162109,move
2026-02-25 00:56:28.358905,0,1133,853,0,0,0.005999565124511719,move
2026-02-25 00:56:28.366824,0,1195,912,0,0,0.007918596267700195,move
2026-02-25 00:56:28.372831,0,1252,961,0,0,0.006006717681884766,move
2026-02-25 00:56:28.379833,0,1305,1003,0,0,0.007003068923950195,move
2026-02-25 00:56:28.387020,0,1349,1047,0,0,0.0071868896484375,move
2026-02-25 00:56:28.394054,0,1390,1079,0,0,0.007033824920654297,move
2026-02-25 00:56:28.401055,0,1421,1103,0,0,0.00700068473815918,move
2026-02-25 00:56:28.408139,0,1452,1101,0,0,0.007084369659423828,move
2026-02-25 00:56:28.414141,0,1479,1100,0,0,0.006001949310302734,move
2026-02-25 00:56:28.422142,0,1496,1094,0,0,0.008000373840332031,move
2026-02-25 00:56:28.428436,0,1517,1091,0,0,0.006294727325439453,move
2026-02-25 00:56:28.435436,0,1522,1082,0,0,0.006999969482421875,move
2026-02-25 00:56:28.442523,0,1534,1086,0,0,0.007086515426635742,move
2026-02-25 00:56:28.449291,0,1547,1090,0,0,0.006767749786376953,move
2026-02-25 00:56:28.455286,0,1563,1090,0,0,0.005995273590087891,move
2026-02-25 00:56:28.463294,0,1576,1086,0,0,0.008008003234863281,move
2026-02-25 00:56:28.469104,0,1590,1085,0,0,0.005810260772705078,move
2026-02-25 00:56:28.476668,0,1605,1085,0,0,0.00756382942199707,move
2026-02-25 00:56:28.482960,0,1615,1086,0,0,0.006291866302490234,move
2026-02-25 00:56:28.490217,0,1625,1084,0,0,0.007257223129272461,move
2026-02-25 00:56:28.496557,0,1628,1081,0,0,0.00634002685546875,move
2026-02-25 00:56:28.503557,0,1631,1080,0,0,0.0069997310638427734,move
2026-02-25 00:56:28.510782,0,1632,1079,0,0,0.00722503662109375,move
2026-02-25 00:56:28.517787,0,1634,1080,0,0,0.007005214691162109,move
2026-02-25 00:56:28.524789,0,1634,1079,0,0,0.0070018768310546875,move
